max_return_z1,min_return_z1,max_ambient,min_ambient
24.44,0.83,38.6111,15.8888
21.67,-0.94,55,12.8333
18.78,-4.33,42.2222,10.4444
20,-23.44,42.8888,5.0555
26.67,-23.44,49.1111,9.6666
25.78,-23.39,45.9444,17.3333
3.89,0.94,34.2222,12.6111
19.33,-4.61,40.7777,10.3333
28.5,0.22,45.2222,7.4444
26.56,-2.83,41.0555,15.8333
21.94,-25.33,43.8888,7.0555
21.94,0.17,48.5555,17.3888
1.39,0.61,38.6666,21.5
20.61,0.17,43.2222,10.1111
21.39,0.06,45.6111,8.6666
29.28,0.17,38.0555,8.9444
16.33,-20.61,35.9444,14.4444
26.78,1.5,45.3888,8.8888
20.5,-20.06,51.8888,10.3333
-11.11,-20.06,43.0555,12.6111
25.72,-5.61,41.1666,9.2222
21.67,-5.06,37.2777,8.6111
19.44,19.44,19.7777,19.7777
20.78,17.33,22.1666,17.6111
19.17,-25.22,40.7222,3.1111
11.39,-6,28.8888,-1.8888
-2.33,-6.39,17.5555,-3.1111
